Punto,Fecha,Hora,Especie,N,Observaciones
LG06_1,29-09-20,10:18:12,A. axis,1,sin hastas
LG06_1,29-09-20,10:19:43,A. axis,1,hembra + cervato
LG06_1,29-09-20,10:25:22,A. axis,1,
LG06_1,30-09-20,09:00:58,L. gymnocercus,2,2 indiv.
LG06_1,01-10-20,10:25:37,L. gymnocercus,1,
LG06_1,01-10-20,10:52:59,A. axis,1,hastas cortas con terciopelo
LG06_1,01-10-20,11:01:01,A. axis,2,"2 indiv, uno hastas cortas-medias con terciopelo 2 ptas, otro hastas medias con terciopelo 3 ptas (una pta muy corta)"
LG06_1,01-10-20,15:07:22,A. axis,2,"2 indiv, sin hastas"
LG06_1,02-10-20,06:20:45,A. axis,1,
LG06_1,02-10-20,17:55:59,L. gymnocercus,1,
LG06_1,03-10-20,12:33:56,L. gymnocercus,1,
LG06_1,04-10-20,08:48:54,L. gymnocercus,1,
LG06_1,04-10-20,14:34:14,E. caballus,1,blanco
LG06_1,05-10-20,00:59:59,E. caballus,1,blanco
LG06_1,06-10-20,17:19:42,A. axis,1,"hastas muy pequeñas, con terciopelo, apenas brotando"
LG06_1,06-10-20,17:22:14,A. axis,1,mismo aterior?
LG06_1,06-10-20,17:31:13,L. gymnocercus,1,
LG06_1,07-10-20,06:11:12,A. axis,1,no queda claro si son dos indiv sin hastas o sólo uno
LG06_1,07-10-20,21:11:45,L. gymnocercus,1,
LG06_1,08-10-20,11:20:47,E. caballus,1,blanco
LG06_1,08-10-20,16:45:48,E. caballus,1,blanco (en 349 aparece hornero? en el árbol)
LG06_1,09-10-20,05:01:13,A. axis,1,sin hastas
LG06_1,09-10-20,05:15:25,A. axis,1,sin hastas (foto algo lejana y borrosa)
LG06_1,09-10-20,13:37:16,L. gymnocercus,1,
LG06_1,09-10-20,19:35:28,C. chinga,1,"franjas blancas muy pequeñas, caso totalmente negro"
LG06_1,09-10-20,19:39:31,L. geoffroyi,1,
LG06_1,10-10-20,20:22:23,A. axis,2,(7 min) al menos 2 indiv sin hastas
LG06_1,10-10-20,20:32:52,A. axis,1,hastas de tamaño medio 1 pta
LG06_1,10-10-20,20:46:46,A. axis,4,"(3min) al menos 4 indiv sin hastas, 1 indiv hastas tamaño medio 1 pta"
LG06_1,10-10-20,21:08:18,A. axis,1,(9 min) mismos del caso anteior
